dataset,fold_id,budget_fraction,block_id,calibrated_plan_lower_bound,realized_worst_value,covered,calibration_blocks,adaptive_alpha,target_alpha,adaptation_rate
bts,1,0.01,2024-05-01,0.0,5.743354430379748,1.0,30.0,0.05,0.05,0.1
bts,1,0.01,2024-05-02,0.0,10.302926421404685,1.0,31.0,0.05500000000000001,0.05,0.1
bts,1,0.01,2024-05-03,0.0,22.57602317157535,1.0,32.0,0.06000000000000001,0.05,0.1
bts,1,0.01,2024-05-04,0.0,3.0500000000000003,1.0,33.0,0.06500000000000002,0.05,0.1
bts,1,0.01,2024-05-05,0.0,9.181021341463415,1.0,34.0,0.07000000000000002,0.05,0.1
bts,1,0.01,2024-05-06,0.0,15.518446601941749,1.0,35.0,0.07500000000000002,0.05,0.1
bts,1,0.01,2024-05-07,0.0,12.204576210826213,1.0,36.0,0.08000000000000003,0.05,0.1
bts,1,0.01,2024-05-08,0.0,4.528703703703704,1.0,37.0,0.08500000000000003,0.05,0.1
bts,1,0.01,2024-05-09,0.0,28.2966482918198,1.0,38.0,0.09000000000000004,0.05,0.1
bts,1,0.01,2024-05-10,0.0,22.118430083519392,1.0,39.0,0.09500000000000004,0.05,0.1
bts,1,0.01,2024-05-11,0.0,4.471428571428572,1.0,40.0,0.10000000000000005,0.05,0.1
bts,1,0.01,2024-05-12,0.0,2.85,1.0,41.0,0.10500000000000005,0.05,0.1
bts,1,0.01,2024-05-13,0.0,10.210005543237251,1.0,42.0,0.11000000000000006,0.05,0.1
bts,1,0.01,2024-05-14,7.79258966280544,7.219354838709678,0.0,43.0,0.11500000000000006,0.05,0.1
bts,1,0.01,2024-05-15,0.0,6.671428571428571,1.0,44.0,0.02000000000000006,0.05,0.1
bts,1,0.01,2024-05-16,0.0,19.0922187961206,1.0,45.0,0.02500000000000006,0.05,0.1
bts,1,0.01,2024-05-17,0.0,13.819639175257734,1.0,46.0,0.03000000000000006,0.05,0.1
bts,1,0.01,2024-05-18,0.0,1.675,1.0,47.0,0.03500000000000006,0.05,0.1
bts,1,0.01,2024-05-19,0.0,15.014010989010991,1.0,48.0,0.04000000000000006,0.05,0.1
bts,1,0.01,2024-05-20,0.0,5.917241379310345,1.0,49.0,0.04500000000000007,0.05,0.1
bts,1,0.01,2024-05-21,0.0,10.404294564911291,1.0,50.0,0.05000000000000007,0.05,0.1
bts,1,0.01,2024-05-22,0.0,10.91211158988633,1.0,51.0,0.05500000000000008,0.05,0.1
bts,1,0.01,2024-05-23,0.0,20.54323530268813,1.0,52.0,0.06000000000000008,0.05,0.1
bts,1,0.01,2024-05-24,0.0610326075453429,9.219354838709677,1.0,53.0,0.06500000000000009,0.05,0.1
bts,1,0.01,2024-05-25,0.0,6.717647058823529,1.0,54.0,0.07000000000000009,0.05,0.1
bts,1,0.01,2024-05-26,0.0,15.21941516719682,1.0,55.0,0.0750000000000001,0.05,0.1
bts,1,0.01,2024-05-27,11.036577329628912,8.533701298701299,0.0,56.0,0.0800000000000001,0.05,0.1
bts,1,0.01,2024-05-28,0.0,25.44826388888889,1.0,57.0,-0.014999999999999902,0.05,0.1
bts,1,0.01,2024-05-29,0.0,20.23208860759493,1.0,58.0,-0.009999999999999901,0.05,0.1
bts,1,0.01,2024-05-30,0.0,76.47293983887734,1.0,59.0,-0.0049999999999999,0.05,0.1
bts,1,0.01,2024-05-31,0.0,42.609702671727575,1.0,60.0,1.0061396160665481e-16,0.05,0.1
bts,1,0.03,2024-05-01,0.0,9.581512325116591,1.0,30.0,0.05,0.05,0.1
bts,1,0.03,2024-05-02,0.0,34.02032173123431,1.0,31.0,0.05500000000000001,0.05,0.1
bts,1,0.03,2024-05-03,0.0,19.58022290195925,1.0,32.0,0.06000000000000001,0.05,0.1
bts,1,0.03,2024-05-04,0.0,16.77311111111111,1.0,33.0,0.06500000000000002,0.05,0.1
bts,1,0.03,2024-05-05,0.0,28.35701340495548,1.0,34.0,0.07000000000000002,0.05,0.1
bts,1,0.03,2024-05-06,0.0,36.66702199876715,1.0,35.0,0.07500000000000002,0.05,0.1
bts,1,0.03,2024-05-07,0.0,42.52848732193732,1.0,36.0,0.08000000000000003,0.05,0.1
bts,1,0.03,2024-05-08,0.0,19.38941798941799,1.0,37.0,0.08500000000000003,0.05,0.1
bts,1,0.03,2024-05-09,0.0,59.01207382373468,1.0,38.0,0.09000000000000004,0.05,0.1
bts,1,0.03,2024-05-10,0.0,33.42407805553486,1.0,39.0,0.09500000000000004,0.05,0.1
bts,1,0.03,2024-05-11,0.0,42.79926879623789,1.0,40.0,0.10000000000000005,0.05,0.1
bts,1,0.03,2024-05-12,0.0,17.328448275862073,1.0,41.0,0.10500000000000005,0.05,0.1
bts,1,0.03,2024-05-13,29.046374131759933,26.916586090349718,0.0,42.0,0.11000000000000006,0.05,0.1
bts,1,0.03,2024-05-14,0.0,8.761538461538462,1.0,43.0,0.015000000000000055,0.05,0.1
bts,1,0.03,2024-05-15,0.0,67.30204634290622,1.0,44.0,0.020000000000000056,0.05,0.1
bts,1,0.03,2024-05-16,0.0,86.94338086472163,1.0,45.0,0.025000000000000057,0.05,0.1
bts,1,0.03,2024-05-17,0.0,31.710727567799264,1.0,46.0,0.030000000000000058,0.05,0.1
bts,1,0.03,2024-05-18,0.0,24.2125,1.0,47.0,0.03500000000000006,0.05,0.1
bts,1,0.03,2024-05-19,0.0,38.73401098901098,1.0,48.0,0.04000000000000006,0.05,0.1
bts,1,0.03,2024-05-20,0.0,22.95537486347324,1.0,49.0,0.04500000000000007,0.05,0.1
bts,1,0.03,2024-05-21,0.0,43.05143742205415,1.0,50.0,0.05000000000000007,0.05,0.1
bts,1,0.03,2024-05-22,0.0,80.17435098600421,1.0,51.0,0.05500000000000008,0.05,0.1
bts,1,0.03,2024-05-23,0.0,91.34277168661028,1.0,52.0,0.06000000000000008,0.05,0.1
bts,1,0.03,2024-05-24,0.0,39.94559597346145,1.0,53.0,0.06500000000000009,0.05,0.1
bts,1,0.03,2024-05-25,0.0,41.57972374592103,1.0,54.0,0.07000000000000009,0.05,0.1
bts,1,0.03,2024-05-26,10.69729352193761,36.340789393625656,1.0,55.0,0.0750000000000001,0.05,0.1
bts,1,0.03,2024-05-27,45.045362596431914,49.20415584415584,1.0,56.0,0.0800000000000001,0.05,0.1
bts,1,0.03,2024-05-28,14.499945293231121,65.12263717843459,1.0,57.0,0.0850000000000001,0.05,0.1
bts,1,0.03,2024-05-29,0.0,33.241017179023515,1.0,58.0,0.09000000000000011,0.05,0.1
bts,1,0.03,2024-05-30,0.0,98.06374282673916,1.0,59.0,0.09500000000000011,0.05,0.1
