dataset,fold_id,partition,block_id,budget_fraction,method,selected_n,predicted_worst_value,realized_worst_value,realized_mean_value,realized_scenario_spread,solver_gap,feasible
bts,1,set_cal,2024-04-01,0.01,StructuralRobust,10.0,77.93883469963853,11.650000000000002,16.7125,11.524999999999999,0.0,1.0
bts,1,set_cal,2024-04-01,0.01,ExpectedActionValue,10.0,58.14248099934157,5.525,8.2875,8.2875,,1.0
bts,1,set_cal,2024-04-01,0.01,PointwiseWorstAction,10.0,58.31533089752457,5.525,8.2875,8.2875,,1.0
bts,1,set_cal,2024-04-01,0.01,ScenarioCVaR,10.0,58.31533089752457,5.525,8.2875,8.2875,,1.0
bts,1,set_cal,2024-04-01,0.01,RiskFirst,10.0,7.866531415392125,6.700000000000001,10.05,10.049999999999999,,1.0
bts,1,set_cal,2024-04-01,0.01,TemporalContext2024,10.0,7.866531415392125,6.700000000000001,10.05,10.049999999999999,,1.0
bts,1,set_cal,2024-04-01,0.01,NetworkPropagation2024,10.0,7.866531415392125,6.700000000000001,10.05,10.049999999999999,,1.0
bts,1,set_cal,2024-04-01,0.01,CalibratedUncertainty2025,10.0,7.395117035697537,0.4,0.6,0.6,,1.0
bts,1,set_cal,2024-04-01,0.01,MappedPTO2026,10.0,5.701005345329632,2.4,3.5999999999999996,3.599999999999999,,1.0
bts,1,set_cal,2024-04-01,0.01,GroupAware2025,10.0,7.866531415392125,6.700000000000001,10.05,10.049999999999999,,1.0
bts,1,set_cal,2024-04-01,0.01,RobustImprovement2025,10.0,6.4469141477477985,11.650000000000002,16.712500000000002,11.524999999999999,,1.0
bts,1,set_cal,2024-04-01,0.03,StructuralRobust,29.0,183.5685530239572,19.05,27.8125,22.624999999999996,0.0,1.0
bts,1,set_cal,2024-04-01,0.03,ExpectedActionValue,29.0,112.23135186155854,20.24501452778108,29.86752179167162,28.867521791671614,,1.0
bts,1,set_cal,2024-04-01,0.03,PointwiseWorstAction,29.0,112.3625289465171,20.24501452778108,29.86752179167162,28.867521791671614,,1.0
bts,1,set_cal,2024-04-01,0.03,ScenarioCVaR,29.0,112.3625289465171,20.24501452778108,29.86752179167162,28.867521791671614,,1.0
bts,1,set_cal,2024-04-01,0.03,RiskFirst,29.0,21.59608466450837,15.150000000000002,21.9625,16.775,,1.0
bts,1,set_cal,2024-04-01,0.03,TemporalContext2024,29.0,23.13636770046097,15.150000000000002,21.9625,16.775,,1.0
bts,1,set_cal,2024-04-01,0.03,NetworkPropagation2024,29.0,23.534937241910246,19.050000000000004,27.8125,22.624999999999993,,1.0
bts,1,set_cal,2024-04-01,0.03,CalibratedUncertainty2025,29.0,21.484760187489634,14.7,21.287499999999998,16.1,,1.0
bts,1,set_cal,2024-04-01,0.03,MappedPTO2026,29.0,22.5351899527141,22.675,33.175,27.424999999999994,,1.0
bts,1,set_cal,2024-04-01,0.03,GroupAware2025,29.0,23.102842612285677,23.375000000000004,34.225,28.474999999999998,,1.0
bts,1,set_cal,2024-04-01,0.03,RobustImprovement2025,29.0,23.343615726936562,19.05,27.8125,22.624999999999996,,1.0
bts,1,set_cal,2024-04-01,0.05,StructuralRobust,49.0,187.71201229989623,40.717727272727274,59.163636363636364,45.34772727272727,0.0,1.0
bts,1,set_cal,2024-04-01,0.05,ExpectedActionValue,49.0,151.50272871903087,31.570014527781087,46.83002179167161,45.6425217916716,,1.0
bts,1,set_cal,2024-04-01,0.05,PointwiseWorstAction,49.0,152.29299535792578,33.59501452778109,49.89252179167162,48.8925217916716,,1.0
bts,1,set_cal,2024-04-01,0.05,ScenarioCVaR,49.0,152.29299535792578,33.59501452778109,49.89252179167162,48.8925217916716,,1.0
