dataset,budget_fraction,calibration_mean_paired_margin,one_sided_95_lower_limit,use_structural_plan,test_mean_paired_margin,issued_test_mean_paired_margin,calibration_blocks,test_blocks
bts,0.01,0.6700154883074023,-2.0578081893315567,0.0,0.5019865592393618,0.0,61.0,61.0
bts,0.03,2.6521045979582354,-0.23320372001186002,0.0,-0.7229199970512861,-0.0,61.0,61.0
bts,0.05,2.2265796084474796,-2.0035912071881534,0.0,4.31727018548382,0.0,61.0,61.0
bts,0.1,-3.2558665670116778,-8.485016716807065,0.0,6.244830771606109,0.0,61.0,61.0
bts,0.2,11.480000027710002,4.312651302288741,1.0,23.659539468834602,23.659539468834602,61.0,61.0
divvy,0.01,0.1324590163934427,-0.2780327868852458,0.0,0.4258064516129033,0.0,61.0,62.0
divvy,0.03,0.4052459016393434,0.01704918032786812,1.0,0.5883870967741934,0.5883870967741934,61.0,62.0
divvy,0.05,0.6911475409836051,0.1022950819672112,1.0,0.7070967741935469,0.7070967741935469,61.0,62.0
divvy,0.1,-0.7488524590163932,-1.6603934426229512,0.0,1.9638709677419335,0.0,61.0,62.0
divvy,0.2,0.9573770491803256,-0.22039344262295116,0.0,2.163870967741932,0.0,61.0,62.0
road,0.01,0.5381717328124368,0.26031906290439955,1.0,0.26322798939756936,0.26322798939756936,50.0,45.0
road,0.03,0.16216264177765943,-0.24465527579955915,0.0,-0.21824352377542797,-0.0,50.0,45.0
road,0.05,0.3988745325678707,0.08823804122889863,1.0,0.07916138877141941,0.07916138877141941,50.0,45.0
road,0.1,0.22115343851639532,-0.26324817247283944,0.0,0.060134195031930404,0.0,50.0,45.0
road,0.2,0.2447733708302534,0.027594042472550304,1.0,0.22522045514376288,0.22522045514376288,50.0,45.0
