dataset,budget_fraction,paired_coverage,absolute_coverage,blocks,certified_switch_rate,finite_paired_lower_rate,mean_paired_lower_bound,mean_realized_paired_margin,mean_absolute_lower_bound,mean_realized_worst,absolute_retained_share
bts,0.01,0.9672131147540983,0.9344262295081968,61,0.0,0.9180327868852459,-20.344195515035743,0.5019865592393616,0.9960235390586412,13.733763550249186,0.07252371394151236
bts,0.03,0.9344262295081968,0.9672131147540983,61,0.0,0.45901639344262296,-24.34785588295845,-0.7229199970512858,3.372834904800512,42.760217943468064,0.07887786982890571
bts,0.05,0.9508196721311475,0.9836065573770492,61,0.0,0.9672131147540983,-34.00540102604177,4.31727018548382,16.69943907122529,73.33562827716226,0.22771249750683228
bts,0.1,0.9672131147540983,0.9836065573770492,61,0.0,0.9508196721311475,-46.90835699077649,6.244830771606109,66.07943702637172,151.67693692485577,0.4356590946922207
bts,0.2,0.9508196721311475,0.9672131147540983,61,0.0,0.8360655737704918,-43.51183035488017,23.6595394688346,85.05831074703198,292.827951981044,0.29047196543770576
divvy,0.01,0.9354838709677419,0.9354838709677419,62,0.0,0.6774193548387096,-2.9419135239245158,0.42580645161290326,2.068709872384801,5.774193548387097,0.35826819018954653
divvy,0.03,0.9516129032258065,0.9516129032258065,62,0.0,0.6290322580645161,-3.6691298192482225,0.5883870967741932,5.744602025146296,13.200000000000001,0.4351971231171436
divvy,0.05,0.9354838709677419,0.967741935483871,62,0.0,0.532258064516129,-4.4135006141931905,0.7070967741935471,6.565717076203677,19.348387096774196,0.33934182954703895
divvy,0.1,0.9516129032258065,0.9838709677419355,62,0.0,0.9838709677419355,-6.423765334892175,1.9638709677419337,9.872307210559383,29.690322580645166,0.3325092606772499
divvy,0.2,0.9354838709677419,0.967741935483871,62,0.0,0.8870967741935484,-7.028670720679781,2.1638709677419325,11.261502005254275,39.896774193548396,0.28226597846287393
road,0.01,0.9555555555555556,0.9555555555555556,45,0.0,0.4888888888888889,-1.5452737758856956,0.26322798939756936,4.738578569215358,15.496978385575698,0.3057743549301159
road,0.03,0.9777777777777777,1.0,45,0.0,0.5111111111111111,-2.7867013675854917,-0.21824352377542802,10.650978772028727,33.709915326896244,0.31595981979612375
road,0.05,0.9777777777777777,0.9777777777777777,45,0.0,0.4444444444444444,-2.3278214732321714,0.07916138877141941,17.391244308190586,45.28577421589862,0.38403327776352747
road,0.1,0.9555555555555556,0.9777777777777777,45,0.0,0.4444444444444444,-3.86456635016741,0.060134195031930404,21.82180005763609,66.3420172341096,0.32892879908415656
road,0.2,0.9777777777777777,1.0,45,0.0,0.5111111111111111,-1.3734239758914937,0.22522045514376288,34.274315884358785,91.82339212596695,0.3732634472634155
