dataset,budget_fraction,ours_worst_value,gain_over_loss_priority_pct,certified_policy_gain_pct,risk_holm_p,strongest_frontier_method,gain_over_strongest_frontier_pct
bts,0.01,13.733763550249186,6.440962480550324,0.0,0.9078184363127374,RobustImprovement2025,1.351544903555889
bts,0.03,42.760217943468064,1.621536518950226,0.0,0.9078184363127374,RobustImprovement2025,-5.351392524748193
bts,0.05,73.33562827716226,6.213307479922469,0.0,0.27794441111777646,RobustImprovement2025,-2.6703837608355987
bts,0.1,151.67693692485577,4.207275780807658,0.0,0.10557888422315537,RobustImprovement2025,1.8931583759954511
bts,0.2,292.827951981044,7.090376372325656,0.0,0.0029994001199760045,CalibratedUncertainty2025,1.6692019553137967
divvy,0.01,5.774193548387097,8.484848484848495,0.0,0.09118176364727054,CalibratedUncertainty2025,1.1299435028248577
divvy,0.03,13.200000000000001,3.1250000000000027,0.0,0.5470905818836233,MappedPTO2026,1.1869436201780377
divvy,0.05,19.348387096774196,3.485162180814358,0.0,0.3203359328134373,RobustImprovement2025,0.6713662302786163
divvy,0.1,29.690322580645166,6.380027739251041,0.0,0.007798440311937611,RobustImprovement2025,1.0540184453227897
divvy,0.2,39.896774193548396,5.547021676053945,0.0,0.005598880223955209,MappedPTO2026,3.497907949790821
road,0.01,15.496978385575698,1.6341427796520842,0.0,0.3203359328134373,RobustImprovement2025,0.13646198512062452
road,0.03,33.709915326896244,-0.3900982692531869,0.0,1.0,CalibratedUncertainty2025,-0.7030485040057399
road,0.05,45.28577421589862,0.27517042320471125,0.0,0.9078184363127374,RobustImprovement2025,0.15767629237359365
road,0.1,66.3420172341096,0.18272403230401796,0.0,0.9078184363127374,RobustImprovement2025,-0.04401344806259349
road,0.2,91.82339212596695,0.2743642419983105,0.0,0.3203359328134373,RobustImprovement2025,0.06790468002495863
