dataset,fold_id,budget_fraction,block_id,calibrated_plan_lower_bound,realized_worst_value,covered,calibration_blocks,adaptive_alpha,target_alpha,adaptation_rate
divvy,1,0.01,2024-05-01,6.863595567797049,8.0,1.0,30.0,0.05,0.05,0.1
divvy,1,0.01,2024-05-02,9.918123784150625,13.6,1.0,31.0,0.05500000000000001,0.05,0.1
divvy,1,0.01,2024-05-03,3.553187946022943,9.6,1.0,32.0,0.06000000000000001,0.05,0.1
divvy,1,0.01,2024-05-04,0.5233546506895168,2.4000000000000004,1.0,33.0,0.06500000000000002,0.05,0.1
divvy,1,0.01,2024-05-05,1.3257672160555058,6.4,1.0,34.0,0.07000000000000002,0.05,0.1
divvy,1,0.01,2024-05-06,7.408830403219181,13.6,1.0,35.0,0.07500000000000002,0.05,0.1
divvy,1,0.01,2024-05-07,8.407009015231194,16.0,1.0,36.0,0.08000000000000003,0.05,0.1
divvy,1,0.01,2024-05-08,8.787269721514841,12.8,1.0,37.0,0.08500000000000003,0.05,0.1
divvy,1,0.01,2024-05-09,2.895220745913834,4.0,1.0,38.0,0.09000000000000004,0.05,0.1
divvy,1,0.01,2024-05-10,5.465838550196462,10.4,1.0,39.0,0.09500000000000004,0.05,0.1
divvy,1,0.01,2024-05-11,2.6373131274132398,5.6,1.0,40.0,0.10000000000000005,0.05,0.1
divvy,1,0.01,2024-05-12,3.0693400678672917,8.0,1.0,41.0,0.10500000000000005,0.05,0.1
divvy,1,0.01,2024-05-13,6.932194482351553,13.6,1.0,42.0,0.11000000000000006,0.05,0.1
divvy,1,0.01,2024-05-14,7.74184616027192,8.8,1.0,43.0,0.11500000000000006,0.05,0.1
divvy,1,0.01,2024-05-15,7.424316512798343,12.8,1.0,44.0,0.12000000000000006,0.05,0.1
divvy,1,0.01,2024-05-16,12.885584801830555,15.6,1.0,45.0,0.12500000000000006,0.05,0.1
divvy,1,0.01,2024-05-17,3.742456190277812,5.6000000000000005,1.0,46.0,0.13000000000000006,0.05,0.1
divvy,1,0.01,2024-05-18,3.5446992734559366,10.4,1.0,47.0,0.13500000000000006,0.05,0.1
divvy,1,0.01,2024-05-19,2.67091762500445,7.6,1.0,48.0,0.14000000000000007,0.05,0.1
divvy,1,0.01,2024-05-20,7.182605626244319,10.400000000000002,1.0,49.0,0.14500000000000007,0.05,0.1
divvy,1,0.01,2024-05-21,7.506128172790827,11.2,1.0,50.0,0.15000000000000008,0.05,0.1
divvy,1,0.01,2024-05-22,11.813463465322474,16.0,1.0,51.0,0.15500000000000008,0.05,0.1
divvy,1,0.01,2024-05-23,10.80560188237704,14.4,1.0,52.0,0.1600000000000001,0.05,0.1
divvy,1,0.01,2024-05-24,6.023392959641823,11.200000000000005,1.0,53.0,0.1650000000000001,0.05,0.1
divvy,1,0.01,2024-05-25,3.5533961103459575,4.8,1.0,54.0,0.1700000000000001,0.05,0.1
divvy,1,0.01,2024-05-26,1.0299731974680189,1.6,1.0,55.0,0.1750000000000001,0.05,0.1
divvy,1,0.01,2024-05-27,3.7980599803049433,2.4000000000000004,0.0,56.0,0.1800000000000001,0.05,0.1
divvy,1,0.01,2024-05-28,6.898385414634101,8.0,1.0,57.0,0.0850000000000001,0.05,0.1
divvy,1,0.01,2024-05-29,9.168308599527911,9.6,1.0,58.0,0.09000000000000011,0.05,0.1
divvy,1,0.01,2024-05-30,8.143059316157396,12.0,1.0,59.0,0.09500000000000011,0.05,0.1
divvy,1,0.01,2024-05-31,6.030852813592425,12.000000000000004,1.0,60.0,0.10000000000000012,0.05,0.1
divvy,1,0.03,2024-05-01,12.498626849573622,23.200000000000006,1.0,30.0,0.05,0.05,0.1
divvy,1,0.03,2024-05-02,14.12553096992814,33.60000000000001,1.0,31.0,0.05500000000000001,0.05,0.1
divvy,1,0.03,2024-05-03,7.5431518940054625,15.6,1.0,32.0,0.06000000000000001,0.05,0.1
divvy,1,0.03,2024-05-04,7.248393743956211,5.6,0.0,33.0,0.06500000000000002,0.05,0.1
divvy,1,0.03,2024-05-05,0.0,9.6,1.0,34.0,-0.029999999999999985,0.05,0.1
divvy,1,0.03,2024-05-06,0.0,25.60000000000001,1.0,35.0,-0.024999999999999984,0.05,0.1
divvy,1,0.03,2024-05-07,0.0,25.600000000000005,1.0,36.0,-0.019999999999999983,0.05,0.1
divvy,1,0.03,2024-05-08,0.0,24.800000000000008,1.0,37.0,-0.014999999999999982,0.05,0.1
divvy,1,0.03,2024-05-09,0.0,6.4,1.0,38.0,-0.009999999999999981,0.05,0.1
divvy,1,0.03,2024-05-10,0.0,22.000000000000007,1.0,39.0,-0.00499999999999998,0.05,0.1
divvy,1,0.03,2024-05-11,0.0,8.0,1.0,40.0,2.0816681711721685e-17,0.05,0.1
divvy,1,0.03,2024-05-12,0.0,14.400000000000002,1.0,41.0,0.005000000000000022,0.05,0.1
divvy,1,0.03,2024-05-13,0.0,24.000000000000007,1.0,42.0,0.010000000000000023,0.05,0.1
divvy,1,0.03,2024-05-14,0.0,16.4,1.0,43.0,0.015000000000000024,0.05,0.1
divvy,1,0.03,2024-05-15,0.0,24.000000000000007,1.0,44.0,0.020000000000000025,0.05,0.1
divvy,1,0.03,2024-05-16,16.38700009478454,30.800000000000008,1.0,45.0,0.025000000000000026,0.05,0.1
divvy,1,0.03,2024-05-17,7.430190029520518,11.2,1.0,46.0,0.030000000000000027,0.05,0.1
divvy,1,0.03,2024-05-18,6.902004467249798,16.800000000000004,1.0,47.0,0.03500000000000003,0.05,0.1
divvy,1,0.03,2024-05-19,5.433018617464863,15.600000000000003,1.0,48.0,0.040000000000000036,0.05,0.1
divvy,1,0.03,2024-05-20,11.222907412580566,24.000000000000007,1.0,49.0,0.04500000000000004,0.05,0.1
divvy,1,0.03,2024-05-21,10.62614576323352,22.80000000000001,1.0,50.0,0.050000000000000044,0.05,0.1
divvy,1,0.03,2024-05-22,14.751374049330991,28.800000000000008,1.0,51.0,0.05500000000000005,0.05,0.1
divvy,1,0.03,2024-05-23,14.903720343307107,24.80000000000001,1.0,52.0,0.06000000000000005,0.05,0.1
divvy,1,0.03,2024-05-24,10.720411017465121,22.000000000000007,1.0,53.0,0.06500000000000006,0.05,0.1
divvy,1,0.03,2024-05-25,7.538573104242182,12.000000000000004,1.0,54.0,0.07000000000000006,0.05,0.1
divvy,1,0.03,2024-05-26,5.787060113023704,5.6,0.0,55.0,0.07500000000000007,0.05,0.1
