dataset,fold_id,partition,block_id,budget_fraction,method,selected_n,predicted_worst_value,realized_worst_value,realized_mean_value,realized_scenario_spread,predicted_paired_margin,realized_paired_margin,realized_paired_mean,changed_actions,realized_dominance,predicted_discrepancy_tolerance,solver_gap,feasible,certified_switch,calibrated_paired_margin_lower_bound
divvy,1,set_cal,2024-04-01,0.01,StructuralRobust,7.0,6.155723040310913,0.0,0.0,0.0,0.13756215419409745,-1.12,-1.1,4.0,0.0,0.03439053854852436,0.0,1.0,,
divvy,1,set_cal,2024-04-01,0.01,RiskFirst,7.0,0.0,0.8,1.1,0.40000000000000013,0.0,0.0,0.0,0.0,1.0,inf,,1.0,,
divvy,1,set_cal,2024-04-01,0.01,ExpectedActionValue,7.0,5.723371400519306,0.0,0.0,0.0,6.186727727834394,-1.12,-1.1,14.0,0.0,0.44190912341674243,,1.0,,
divvy,1,set_cal,2024-04-01,0.01,PointwiseWorstAction,7.0,5.673901598926867,0.0,0.0,0.0,6.131674961133399,-1.12,-1.1,14.0,0.0,0.43797678293809994,,1.0,,
divvy,1,set_cal,2024-04-01,0.01,ScenarioCVaR,7.0,5.673901598926867,0.0,0.0,0.0,6.131674961133399,-1.12,-1.1,14.0,0.0,0.43797678293809994,,1.0,,
divvy,1,set_cal,2024-04-01,0.01,TemporalContext2024,7.0,0.0,0.8,1.1,0.40000000000000013,0.0,0.0,0.0,2.0,1.0,0.0,,1.0,,
divvy,1,set_cal,2024-04-01,0.01,NetworkPropagation2024,7.0,0.0,0.8,1.1,0.40000000000000013,0.0,0.0,0.0,2.0,1.0,0.0,,1.0,,
divvy,1,set_cal,2024-04-01,0.01,CalibratedUncertainty2025,7.0,0.0,0.8,1.1,0.40000000000000013,0.0,0.0,0.0,0.0,1.0,inf,,1.0,,
divvy,1,set_cal,2024-04-01,0.01,MappedPTO2026,7.0,0.0,1.6,1.9,0.3999999999999999,2.7931049100659764e-05,0.8000000000000003,0.8000000000000003,2.0,1.0,1.3965524550329882e-05,,1.0,,
divvy,1,set_cal,2024-04-01,0.01,GroupAware2025,7.0,0.0,0.8,1.1,0.40000000000000013,0.0,0.0,0.0,0.0,1.0,inf,,1.0,,
divvy,1,set_cal,2024-04-01,0.01,RobustImprovement2025,7.0,0.0,0.0,0.0,0.0,0.0,-1.12,-1.1,2.0,0.0,0.0,,1.0,,
divvy,1,set_cal,2024-04-01,0.03,StructuralRobust,20.0,9.594963275222634,1.6,1.9,0.3999999999999999,0.10615326683426751,0.0,0.0,8.0,1.0,0.013269158354283439,0.0,1.0,,
divvy,1,set_cal,2024-04-01,0.03,RiskFirst,20.0,0.07217660473002134,1.6,1.9,0.3999999999999999,0.0,0.0,0.0,0.0,1.0,inf,,1.0,,
divvy,1,set_cal,2024-04-01,0.03,ExpectedActionValue,20.0,7.924642361705372,0.0,0.0,0.0,8.417356543364372,-1.9200000000000004,-1.9000000000000004,38.0,0.0,0.22150938272011506,,1.0,,
