dataset,fold_id,budget_fraction,block_id,calibrated_plan_lower_bound,realized_worst_value,covered,calibration_blocks,adaptive_alpha,target_alpha,adaptation_rate
road,1,0.01,2012-04-26,0.0,19.566312331139304,1.0,10.0,0.05,0.05,0.1
road,1,0.01,2012-04-27,0.0,11.448300171181383,1.0,11.0,0.05500000000000001,0.05,0.1
road,1,0.01,2012-04-30,0.0,22.13216814146255,1.0,12.0,0.06000000000000001,0.05,0.1
road,1,0.01,2012-05-01,0.0,18.77190751014962,1.0,13.0,0.06500000000000002,0.05,0.1
road,1,0.01,2012-05-02,8.992703293470797,15.635357001538972,1.0,14.0,0.07000000000000002,0.05,0.1
road,1,0.01,2012-05-03,6.828001124605288,17.98284535607036,1.0,15.0,0.07500000000000002,0.05,0.1
road,1,0.01,2012-05-04,8.077495579677294,21.24730364730396,1.0,16.0,0.08000000000000003,0.05,0.1
road,1,0.01,2012-05-07,13.167929849717844,20.260690538284187,1.0,17.0,0.08500000000000003,0.05,0.1
road,1,0.01,2012-05-08,13.727393711126421,25.31319519474348,1.0,18.0,0.09000000000000004,0.05,0.1
road,1,0.01,2012-05-09,13.428270031492332,21.914237095028405,1.0,19.0,0.09500000000000004,0.05,0.1
road,1,0.03,2012-04-26,0.0,44.7593478211986,1.0,10.0,0.05,0.05,0.1
road,1,0.03,2012-04-27,0.0,25.75347087986386,1.0,11.0,0.05500000000000001,0.05,0.1
road,1,0.03,2012-04-30,0.0,43.92841100908663,1.0,12.0,0.06000000000000001,0.05,0.1
road,1,0.03,2012-05-01,0.0,39.24635581640067,1.0,13.0,0.06500000000000002,0.05,0.1
road,1,0.03,2012-05-02,24.159153655594064,43.564106275956064,1.0,14.0,0.07000000000000002,0.05,0.1
road,1,0.03,2012-05-03,16.41163967797235,38.16162281161533,1.0,15.0,0.07500000000000002,0.05,0.1
road,1,0.03,2012-05-04,14.63616627590736,35.25109358605493,1.0,16.0,0.08000000000000003,0.05,0.1
road,1,0.03,2012-05-07,25.807179425818408,40.78312919146667,1.0,17.0,0.08500000000000003,0.05,0.1
road,1,0.03,2012-05-08,29.009744950798105,51.154984539862674,1.0,18.0,0.09000000000000004,0.05,0.1
