dataset,fold_id,partition,block_id,budget_fraction,method,selected_n,predicted_worst_value,realized_worst_value,realized_mean_value,realized_scenario_spread,solver_gap,feasible
road,1,set_cal,2012-04-12,0.01,StructuralRobust,8.0,20.754179302963138,20.201270915313188,25.277936084379053,9.820913240165204,0.0,1.0
road,1,set_cal,2012-04-12,0.01,ExpectedActionValue,8.0,14.31624602151301,0.5290350649895091,0.5881608267426781,0.07718352710571152,,1.0
road,1,set_cal,2012-04-12,0.01,PointwiseWorstAction,8.0,14.316246021513008,0.529035064989509,0.5881608267426781,0.07718352710571152,,1.0
road,1,set_cal,2012-04-12,0.01,ScenarioCVaR,8.0,14.316246021513008,0.529035064989509,0.5881608267426781,0.07718352710571152,,1.0
road,1,set_cal,2012-04-12,0.01,RiskFirst,8.0,1.5605242730750635,20.583137705285438,25.65254805636422,9.773538825565872,,1.0
road,1,set_cal,2012-04-12,0.01,TemporalContext2024,8.0,2.0376385597344435,20.5574487178369,25.45016743097395,9.411100918052828,,1.0
road,1,set_cal,2012-04-12,0.01,NetworkPropagation2024,8.0,2.0376385597344435,20.5574487178369,25.45016743097395,9.411100918052828,,1.0
road,1,set_cal,2012-04-12,0.01,CalibratedUncertainty2025,8.0,2.0376385597344435,20.557448717836905,25.45016743097395,9.41110091805282,,1.0
road,1,set_cal,2012-04-12,0.01,MappedPTO2026,8.0,1.9673648718241903,20.201270915313188,25.277936084379053,9.820913240165204,,1.0
road,1,set_cal,2012-04-12,0.01,GroupAware2025,8.0,1.5605242730750635,20.583137705285438,25.65254805636422,9.773538825565872,,1.0
road,1,set_cal,2012-04-12,0.01,RobustImprovement2025,8.0,1.8916838236342057,19.320044812097827,23.994673358427416,8.99619005608827,,1.0
road,1,set_cal,2012-04-12,0.03,StructuralRobust,25.0,43.33376460987852,43.302289499133614,55.19196281264069,23.280598049812205,0.0,1.0
road,1,set_cal,2012-04-12,0.03,ExpectedActionValue,25.0,30.57369193724799,1.6092288781177904,1.8983463884111527,0.516738360390951,,1.0
road,1,set_cal,2012-04-12,0.03,PointwiseWorstAction,25.0,30.57369193724799,1.6092288781177906,1.8983463884111527,0.5167383603909508,,1.0
road,1,set_cal,2012-04-12,0.03,ScenarioCVaR,25.0,30.640333863104914,1.6582468431668216,1.9921423828157903,0.5737115518039795,,1.0
road,1,set_cal,2012-04-12,0.03,RiskFirst,25.0,5.297028337111888,43.83754095586471,55.90898636564655,23.663798523318874,,1.0
road,1,set_cal,2012-04-12,0.03,TemporalContext2024,25.0,5.495225653963314,42.41348045135923,54.155634548949,23.046212486587173,,1.0
road,1,set_cal,2012-04-12,0.03,NetworkPropagation2024,25.0,5.402742876178066,44.93545737658714,57.2853437538214,24.181494800706673,,1.0
road,1,set_cal,2012-04-12,0.03,CalibratedUncertainty2025,25.0,4.913218851015717,43.51184133137404,55.455408250687135,23.393033056782684,,1.0
road,1,set_cal,2012-04-12,0.03,MappedPTO2026,25.0,4.97467556560713,43.302289499133614,55.19196281264069,23.280598049812205,,1.0
road,1,set_cal,2012-04-12,0.03,GroupAware2025,25.0,5.297028337111888,43.83754095586471,55.90898636564655,23.66379852331889,,1.0
road,1,set_cal,2012-04-12,0.03,RobustImprovement2025,25.0,5.107146698650329,45.439416601031496,57.884361588712295,24.343273529806538,,1.0
road,1,set_cal,2012-04-12,0.05,StructuralRobust,41.0,81.54054578836023,59.14804371896388,76.49768199167865,34.29194479491229,0.0,1.0
road,1,set_cal,2012-04-12,0.05,ExpectedActionValue,41.0,42.08846213504485,3.065654013861263,3.774993228653878,1.296094948726608,,1.0
road,1,set_cal,2012-04-12,0.05,PointwiseWorstAction,41.0,42.1811972461059,3.070445075793064,3.7269544862645323,1.220621561544856,,1.0
road,1,set_cal,2012-04-12,0.05,ScenarioCVaR,41.0,42.1582557305478,3.1471990136341823,3.856538228426797,1.2960949487266076,,1.0
road,1,set_cal,2012-04-12,0.05,RiskFirst,41.0,7.481283877499318,59.763226015471886,77.28368108374647,34.622228681924554,,1.0
road,1,set_cal,2012-04-12,0.05,TemporalContext2024,41.0,7.50555413504557,57.97790923982106,74.9939281590895,33.647313498158454,,1.0
road,1,set_cal,2012-04-12,0.05,NetworkPropagation2024,41.0,7.503739232762971,58.42265895852725,75.53989910213348,33.83196367326201,,1.0
road,1,set_cal,2012-04-12,0.05,CalibratedUncertainty2025,41.0,7.64039753231605,57.91179106859862,74.84940968198637,33.43631725979442,,1.0
road,1,set_cal,2012-04-12,0.05,MappedPTO2026,41.0,6.81884059988881,58.82664795178515,76.05755208959889,34.047070080159145,,1.0
road,1,set_cal,2012-04-12,0.05,GroupAware2025,41.0,7.481283877499317,59.763226015471886,77.28368108374647,34.62222868192458,,1.0
road,1,set_cal,2012-04-12,0.05,RobustImprovement2025,41.0,7.721319114760881,58.69449978574794,75.93615157323468,34.088325097491904,,1.0
road,1,set_cal,2012-04-12,0.1,StructuralRobust,83.0,28.37614726969492,83.30273597292282,110.01451661421228,53.46237496621512,0.0,1.0
road,1,set_cal,2012-04-12,0.1,ExpectedActionValue,83.0,65.25068043698711,18.442305310662142,23.955344064466548,10.974258393238117,,1.0
road,1,set_cal,2012-04-12,0.1,PointwiseWorstAction,83.0,65.27894503899022,18.67805201245724,24.23609086955952,11.056262841146694,,1.0
road,1,set_cal,2012-04-12,0.1,ScenarioCVaR,83.0,65.30516762877225,18.434057317799073,23.871839340773306,10.767395289264734,,1.0
road,1,set_cal,2012-04-12,0.1,RiskFirst,83.0,15.975336581979054,83.22971508600357,109.94861096307274,53.49277132887151,,1.0
road,1,set_cal,2012-04-12,0.1,TemporalContext2024,83.0,15.627974735355929,83.67346528046731,110.52802475555193,53.74506539184303,,1.0
road,1,set_cal,2012-04-12,0.1,NetworkPropagation2024,83.0,14.804573473953774,84.53801888175202,111.56728726174995,54.06624664245295,,1.0
road,1,set_cal,2012-04-12,0.1,CalibratedUncertainty2025,83.0,14.305804871821225,83.83926120615001,110.53970255614892,53.323959806238605,,1.0
road,1,set_cal,2012-04-12,0.1,MappedPTO2026,83.0,15.368846665976442,83.32364938410129,110.07359308081045,53.55735010023565,,1.0
road,1,set_cal,2012-04-12,0.1,GroupAware2025,83.0,16.203699011416045,83.61992561711446,110.43102673153427,53.66006841484969,,1.0
road,1,set_cal,2012-04-12,0.1,RobustImprovement2025,83.0,16.072605917755485,83.30273597292282,110.01451661421228,53.46237496621512,,1.0
road,1,set_cal,2012-04-12,0.2,StructuralRobust,166.0,71.38808606516227,110.80462242228211,148.61215920651713,76.07261101330107,0.0,1.0
road,1,set_cal,2012-04-12,0.2,ExpectedActionValue,166.0,95.22720201938311,33.17205374774307,43.5144718440937,20.532214248074112,,1.0
road,1,set_cal,2012-04-12,0.2,PointwiseWorstAction,166.0,95.28599115261743,33.05429421337635,43.34323079123163,20.45559999112175,,1.0
road,1,set_cal,2012-04-12,0.2,ScenarioCVaR,166.0,95.28711105125127,32.895493074801394,43.10903842877492,20.258025751105556,,1.0
road,1,set_cal,2012-04-12,0.2,RiskFirst,166.0,28.061605353670647,110.44301726260333,148.05667120421768,75.6995022761569,,1.0
road,1,set_cal,2012-04-12,0.2,TemporalContext2024,166.0,27.64231063336219,108.19212637461669,145.0490120814018,74.09056416736595,,1.0
road,1,set_cal,2012-04-12,0.2,NetworkPropagation2024,166.0,27.045666003779427,109.14071460668092,146.0440366189057,74.06737686106291,,1.0
road,1,set_cal,2012-04-12,0.2,CalibratedUncertainty2025,166.0,26.935761895765214,109.82988189567614,146.61458426017245,73.68331400326171,,1.0
road,1,set_cal,2012-04-12,0.2,MappedPTO2026,166.0,28.573416268464328,109.94611663158408,147.28795539994476,75.05430756514802,,1.0
road,1,set_cal,2012-04-12,0.2,GroupAware2025,166.0,28.904096661610556,110.2312697039368,147.72642604046672,75.40187662083856,,1.0
road,1,set_cal,2012-04-12,0.2,RobustImprovement2025,166.0,28.426677876932125,108.54460668888402,145.79536746161605,74.94838876841902,,1.0
road,1,set_cal,2012-04-13,0.01,StructuralRobust,8.0,10.415863066812499,2.5396767781735727,3.618696441607455,2.2117904311186223,0.0,1.0
road,1,set_cal,2012-04-13,0.01,ExpectedActionValue,8.0,10.241036868077504,1.0340158201614178,1.455615979827416,0.8314893095629843,,1.0
road,1,set_cal,2012-04-13,0.01,PointwiseWorstAction,8.0,10.351073101381944,1.0177324501746272,1.4393326098406256,0.8314893095629841,,1.0
road,1,set_cal,2012-04-13,0.01,ScenarioCVaR,8.0,10.351073101381942,1.0177324501746272,1.4393326098406256,0.8314893095629841,,1.0
road,1,set_cal,2012-04-13,0.01,RiskFirst,8.0,1.4819263838633916,3.326396995356853,4.626582388460576,2.639526008982326,,1.0
road,1,set_cal,2012-04-13,0.01,TemporalContext2024,8.0,1.4580464887833606,2.214046307431237,3.1880525212165653,2.0090142887363807,,1.0
road,1,set_cal,2012-04-13,0.01,NetworkPropagation2024,8.0,1.4497181874944198,2.1449830496461444,3.0378770279773937,1.8283548553991031,,1.0
road,1,set_cal,2012-04-13,0.01,CalibratedUncertainty2025,8.0,1.2278025091379365,1.9097542622729078,2.660316242873886,1.5292391742547204,,1.0
road,1,set_cal,2012-04-13,0.01,MappedPTO2026,8.0,1.442527131265962,2.5396767781735727,3.618696441607455,2.2117904311186223,,1.0
road,1,set_cal,2012-04-13,0.01,GroupAware2025,8.0,1.2235409513049316,3.471731438330679,4.815710518806767,2.723845903557462,,1.0
road,1,set_cal,2012-04-13,0.01,RobustImprovement2025,8.0,1.6131782705883477,4.016192415702433,5.496971159079295,2.9815141739755155,,1.0
road,1,set_cal,2012-04-13,0.03,StructuralRobust,25.0,25.122018943734744,20.313434865941613,27.14345662448205,13.691115117439228,0.0,1.0
