dataset,budget_fraction,method,mean_worst_value,mean_value,blocks,feasible_rate,max_solver_gap,ours_worst_value,gain_of_ours_pct
road,0.01,CalibratedUncertainty2025,15.035650686551266,18.909180947591377,45,1.0,,15.496978385575698,3.0682257033084004
road,0.01,ExpectedActionValue,2.355822226152091,3.2351332923306573,45,1.0,,15.496978385575698,557.81612099347
road,0.01,GroupAware2025,15.272472605453345,19.20796489449447,45,1.0,,15.496978385575698,1.4700028340020646
road,0.01,MappedPTO2026,15.293844295505629,19.24714073916632,45,1.0,,15.496978385575698,1.3282081741198564
road,0.01,NetworkPropagation2024,15.431037610460137,19.39675558509628,45,1.0,,15.496978385575698,0.42732560687209825
road,0.01,PointwiseWorstAction,2.4033003701979063,3.3008058949317554,45,1.0,,15.496978385575698,544.8207048001893
road,0.01,RiskFirst,15.247807441219752,19.18082815204068,45,1.0,,15.496978385575698,1.6341427796520842
road,0.01,RobustImprovement2025,15.475859720187048,19.462810550571618,45,1.0,,15.496978385575698,0.13646198512062452
road,0.01,ScenarioCVaR,2.3684061230634232,3.2527507719053137,45,1.0,,15.496978385575698,554.3209897435613
road,0.01,StructuralRobust,15.496978385575698,19.467165788084838,45,1.0,0.0,15.496978385575698,0.0
road,0.01,TemporalContext2024,15.307864710694329,19.239254616644185,45,1.0,,15.496978385575698,1.2354020528366139
road,0.03,CalibratedUncertainty2025,33.948590383720024,43.66524479190102,45,1.0,,33.709915326896244,-0.7030485040057399
road,0.03,ExpectedActionValue,5.285213356620704,7.186115477065028,45,1.0,,33.709915326896244,537.8156008530547
road,0.03,GroupAware2025,33.91330263783662,43.6885469205276,45,1.0,,33.709915326896244,-0.5997272312648843
road,0.03,MappedPTO2026,33.67128504990788,43.38995484822745,45,1.0,,33.709915326896244,0.1147276586893136
road,0.03,NetworkPropagation2024,33.89626484078936,43.624974414377355,45,1.0,,33.709915326896244,-0.549764154748011
road,0.03,PointwiseWorstAction,5.367653179130117,7.298311474300639,45,1.0,,33.709915326896244,528.0196242552184
road,0.03,RiskFirst,33.84193211837185,43.59477535052251,45,1.0,,33.709915326896244,-0.3900982692531869
road,0.03,RobustImprovement2025,33.61831604231718,43.316306470083276,45,1.0,,33.709915326896244,0.27246839033745845
road,0.03,ScenarioCVaR,5.354695847730243,7.276591830957018,45,1.0,,33.709915326896244,529.5393106442313
road,0.03,StructuralRobust,33.709915326896244,43.413966388565136,45,1.0,0.0,33.709915326896244,0.0
road,0.03,TemporalContext2024,33.8343921137738,43.55031206414777,45,1.0,,33.709915326896244,-0.3679001722832325
road,0.05,CalibratedUncertainty2025,45.117810052956045,58.820659467745855,45,1.0,,45.28577421589862,0.37227906838880315
road,0.05,ExpectedActionValue,8.540252634058078,11.451096819718398,45,1.0,,45.28577421589862,430.2627001372458
road,0.05,GroupAware2025,45.101883841112404,58.85835251883325,45,1.0,,45.28577421589862,0.4077221595311542
road,0.05,MappedPTO2026,45.15950522561351,58.932485905160924,45,1.0,,45.28577421589862,0.2796066733997234
road,0.05,NetworkPropagation2024,45.051191215583344,58.75362952639106,45,1.0,,45.28577421589862,0.520703213357281
road,0.05,PointwiseWorstAction,8.5808956045992,11.5008369613251,45,1.0,,45.28577421589862,427.7511381402459
road,0.05,RiskFirst,45.16150311664693,58.94410777786515,45,1.0,,45.28577421589862,0.275170423204727
road,0.05,RobustImprovement2025,45.214481697542,59.00167560105441,45,1.0,,45.28577421589862,0.15767629237359365
road,0.05,ScenarioCVaR,8.54217155269486,11.457356120661274,45,1.0,,45.28577421589862,430.1435816003015
